Player,Hero,Round,Opponent,Opponent Hero,Result
Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Round 6,Aurelien Souchet,"Verdance, Thorn of the Rose",Win
Aurelien Souchet,"Verdance, Thorn of the Rose",Round 6,Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Loss
Tore Eskeland,"Florian, Rotwood Harbinger",Round 6,Demetrio Bori,Dash I/O,Loss
Demetrio Bori,Dash I/O,Round 6,Tore Eskeland,"Florian, Rotwood Harbinger",Win
Gabriele Panichi,"Prism, Awakener of Sol",Round 6,David Bettoli,"Prism, Awakener of Sol",Win
David Bettoli,"Prism, Awakener of Sol",Round 6,Gabriele Panichi,"Prism, Awakener of Sol",Loss
Iacopo Lau,"Azalea, Ace in the Hole",Round 6,Arianna Rinaldi,"Puffin, Hightail",Win
Arianna Rinaldi,"Puffin, Hightail",Round 6,Iacopo Lau,"Azalea, Ace in the Hole",Loss
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 7,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 7,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Win
Stefano Meoni,"Azalea, Ace in the Hole",Round 7,Daniel Li,"Cindra, Dracai of Retribution",Win
Daniel Li,"Cindra, Dracai of Retribution",Round 7,Stefano Meoni,"Azalea, Ace in the Hole",Loss
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 7,Roman Legíň,"Florian, Rotwood Harbinger",Win
Roman Legíň,"Florian, Rotwood Harbinger",Round 7,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 7,Maniša Njegomir,"Kano, Dracai of Aether",Win
Maniša Njegomir,"Kano, Dracai of Aether",Round 7,Gilles Molina,"Prism, Awakener of Sol",Loss
Alessandro Bracci,"Verdance, Thorn of the Rose",Round 7,Yorgos Samaras,"Cindra, Dracai of Retribution",Loss
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 7,Alessandro Bracci,"Verdance, Thorn of the Rose",Win
Anton Cid Mejias,"Arakni, Marionette",Round 7,Giulio Monaco,"Verdance, Thorn of the Rose",Win
Giulio Monaco,"Verdance, Thorn of the Rose",Round 7,Anton Cid Mejias,"Arakni, Marionette",Loss
Szabolcs Egri,"Nuu, Alluring Desire",Round 7,Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Loss
Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Round 7,Szabolcs Egri,"Nuu, Alluring Desire",Win
Alexander Hempelmann,"Kano, Dracai of Aether",Round 7,Tommaso Fabbri,"Azalea, Ace in the Hole",Loss
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 7,Alexander Hempelmann,"Kano, Dracai of Aether",Win
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 7,Marvin Heusinger,"Cindra, Dracai of Retribution",Win
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 7,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Round 7,Giannis Koumidis,"Nuu, Alluring Desire",Win
Giannis Koumidis,"Nuu, Alluring Desire",Round 7,Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Loss
Léo Baty,Kassai of the Golden Sand,Round 7,Andrea Malpassi,"Cindra, Dracai of Retribution",Win
Andrea Malpassi,"Cindra, Dracai of Retribution",Round 7,Léo Baty,Kassai of the Golden Sand,Loss
Federico Lami,"Vynnset, Iron Maiden",Round 7,Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Win
Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Round 7,Federico Lami,"Vynnset, Iron Maiden",Loss
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 7,Adrien Krifa,"Cindra, Dracai of Retribution",Win
Adrien Krifa,"Cindra, Dracai of Retribution",Round 7,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Mirko Dolce,"Azalea, Ace in the Hole",Round 7,Vasilis Kirlis,"Nuu, Alluring Desire",Win
Vasilis Kirlis,"Nuu, Alluring Desire",Round 7,Mirko Dolce,"Azalea, Ace in the Hole",Loss
Daniele Coppola,"Cindra, Dracai of Retribution",Round 7,Jason Rolfe,"Verdance, Thorn of the Rose",Win
Jason Rolfe,"Verdance, Thorn of the Rose",Round 7,Daniele Coppola,"Cindra, Dracai of Retribution",Loss
Finlay Freir,"Vynnset, Iron Maiden",Round 7,Diego Giacca,"Puffin, Hightail",Win
Diego Giacca,"Puffin, Hightail",Round 7,Finlay Freir,"Vynnset, Iron Maiden",Loss
Felix Krisch,"Levia, Shadowborn Abomination",Round 7,Michaele Teppa,"Nuu, Alluring Desire",Loss
Michaele Teppa,"Nuu, Alluring Desire",Round 7,Felix Krisch,"Levia, Shadowborn Abomination",Win
Sander Neeft,"Gravy Bones, Shipwrecked Looter",Round 7,piero scheriani,"Fai, Rising Rebellion",Win
piero scheriani,"Fai, Rising Rebellion",Round 7,Sander Neeft,"Gravy Bones, Shipwrecked Looter",Loss
Bota Claudiu,"Prism, Awakener of Sol",Round 7,Andrei Sebastian Suciu,"Arakni, Marionette",Loss
Andrei Sebastian Suciu,"Arakni, Marionette",Round 7,Bota Claudiu,"Prism, Awakener of Sol",Win
Pablo Pintor,"Nuu, Alluring Desire",Round 7,Maurice Hostettler,"Azalea, Ace in the Hole",Win
Maurice Hostettler,"Azalea, Ace in the Hole",Round 7,Pablo Pintor,"Nuu, Alluring Desire",Loss
Charlie Fahey,"Kano, Dracai of Aether",Round 7,Kevin Zänker,"Nuu, Alluring Desire",Loss
Kevin Zänker,"Nuu, Alluring Desire",Round 7,Charlie Fahey,"Kano, Dracai of Aether",Win
Ruben Exposito,"Kano, Dracai of Aether",Round 7,Gints Dreimanis,"Arakni, Marionette",Loss
Gints Dreimanis,"Arakni, Marionette",Round 7,Ruben Exposito,"Kano, Dracai of Aether",Win
Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Round 7,Andrea Milaneschi,"Vynnset, Iron Maiden",Win
Andrea Milaneschi,"Vynnset, Iron Maiden",Round 7,Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Loss
Daniel Correas,"Azalea, Ace in the Hole",Round 7,Xavier Mudry,"Oscilio, Constella Intelligence",Win
Xavier Mudry,"Oscilio, Constella Intelligence",Round 7,Daniel Correas,"Azalea, Ace in the Hole",Loss
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 7,Erik Skinstad,"Vynnset, Iron Maiden",Win
Erik Skinstad,"Vynnset, Iron Maiden",Round 7,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Sammy Weckx,"Prism, Awakener of Sol",Round 7,Nikos Evgenidis,"Nuu, Alluring Desire",Win
Nikos Evgenidis,"Nuu, Alluring Desire",Round 7,Sammy Weckx,"Prism, Awakener of Sol",Loss
Bartosz Ziemba,"Verdance, Thorn of the Rose",Round 7,Tim Sofsky,"Prism, Awakener of Sol",Loss
Tim Sofsky,"Prism, Awakener of Sol",Round 7,Bartosz Ziemba,"Verdance, Thorn of the Rose",Win
Lachlan Maddaford,"Arakni, Marionette",Round 7,Bartosz Dobrowolski,"Arakni, Marionette",Loss
Bartosz Dobrowolski,"Arakni, Marionette",Round 7,Lachlan Maddaford,"Arakni, Marionette",Win
Gary White,"Kano, Dracai of Aether",Round 7,Andrea Tosi,"Florian, Rotwood Harbinger",Win
Andrea Tosi,"Florian, Rotwood Harbinger",Round 7,Gary White,"Kano, Dracai of Aether",Loss
Jean Luka Zorko,"Prism, Awakener of Sol",Round 7,Savinien Castel,"Nuu, Alluring Desire",Loss
Savinien Castel,"Nuu, Alluring Desire",Round 7,Jean Luka Zorko,"Prism, Awakener of Sol",Win
Marco Casadio,Dash I/O,Round 7,Daniele Bigagli,"Verdance, Thorn of the Rose",Loss
Daniele Bigagli,"Verdance, Thorn of the Rose",Round 7,Marco Casadio,Dash I/O,Win
Thomas Harle,"Gravy Bones, Shipwrecked Looter",Round 7,Steffen Bauer,"Cindra, Dracai of Retribution",Loss
Steffen Bauer,"Cindra, Dracai of Retribution",Round 7,Thomas Harle,"Gravy Bones, Shipwrecked Looter",Win
Artur Wysocki,"Nuu, Alluring Desire",Round 7,Lorenzo Latino,"Victor Goldmane, High and Mighty",Win
Lorenzo Latino,"Victor Goldmane, High and Mighty",Round 7,Artur Wysocki,"Nuu, Alluring Desire",Loss
Liam Holden,"Victor Goldmane, High and Mighty",Round 7,Mathias W,"Vynnset, Iron Maiden",Win
Mathias W,"Vynnset, Iron Maiden",Round 7,Liam Holden,"Victor Goldmane, High and Mighty",Loss
John Kitsos,"Florian, Rotwood Harbinger",Round 7,Paul Crame,"Azalea, Ace in the Hole",Win
Paul Crame,"Azalea, Ace in the Hole",Round 7,John Kitsos,"Florian, Rotwood Harbinger",Loss
Adam Tuček,"Nuu, Alluring Desire",Round 7,Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Win
Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Round 7,Adam Tuček,"Nuu, Alluring Desire",Loss
Mert Gezgin,"Oscilio, Constella Intelligence",Round 7,Matthew Duggan,"Kano, Dracai of Aether",Win
Matthew Duggan,"Kano, Dracai of Aether",Round 7,Mert Gezgin,"Oscilio, Constella Intelligence",Loss
Eugenio Papavero Crusca,Jarl Vetreiði,Round 7,Andreas Capsalis,"Cindra, Dracai of Retribution",Win
Andreas Capsalis,"Cindra, Dracai of Retribution",Round 7,Eugenio Papavero Crusca,Jarl Vetreiði,Loss
Rob Catton,"Prism, Awakener of Sol",Round 7,Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Loss
Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Round 7,Rob Catton,"Prism, Awakener of Sol",Win
George Rodger,"Gravy Bones, Shipwrecked Looter",Round 7,Simone Rainaldi,"Oscilio, Constella Intelligence",Win
Simone Rainaldi,"Oscilio, Constella Intelligence",Round 7,George Rodger,"Gravy Bones, Shipwrecked Looter",Loss
Gianluigi Lia,"Nuu, Alluring Desire",Round 7,Ivaylo Ivanov,"Azalea, Ace in the Hole",Win
Ivaylo Ivanov,"Azalea, Ace in the Hole",Round 7,Gianluigi Lia,"Nuu, Alluring Desire",Loss
Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Round 7,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Loss
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 7,Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Win
Roy Sammour,"Oscilio, Constella Intelligence",Round 7,Jan Kučera,"Kano, Dracai of Aether",Win
Jan Kučera,"Kano, Dracai of Aether",Round 7,Roy Sammour,"Oscilio, Constella Intelligence",Loss
Tiziano Suran,"Azalea, Ace in the Hole",Round 7,Brent Van de Staey,"Cindra, Dracai of Retribution",Win
Brent Van de Staey,"Cindra, Dracai of Retribution",Round 7,Tiziano Suran,"Azalea, Ace in the Hole",Loss
Jakub Kouřil,"Prism, Awakener of Sol",Round 7,filippo pirazzoli,"Cindra, Dracai of Retribution",Win
filippo pirazzoli,"Cindra, Dracai of Retribution",Round 7,Jakub Kouřil,"Prism, Awakener of Sol",Loss
Ilias Karamanis,"Kayo, Armed and Dangerous",Round 7,Giacomo Mosca,"Verdance, Thorn of the Rose",Win
Giacomo Mosca,"Verdance, Thorn of the Rose",Round 7,Ilias Karamanis,"Kayo, Armed and Dangerous",Loss
Ralph Schlauri,"Verdance, Thorn of the Rose",Round 7,Alexandros Argyriou,"Cindra, Dracai of Retribution",Win
Alexandros Argyriou,"Cindra, Dracai of Retribution",Round 7,Ralph Schlauri,"Verdance, Thorn of the Rose",Loss
Francesco Motta,"Fang, Dracai of Blades",Round 7,Jonas Benzarti,"Arakni, Marionette",Win
Jonas Benzarti,"Arakni, Marionette",Round 7,Francesco Motta,"Fang, Dracai of Blades",Loss
George Jones,"Nuu, Alluring Desire",Round 7,Isidoros Popovits,"Azalea, Ace in the Hole",Win
Isidoros Popovits,"Azalea, Ace in the Hole",Round 7,George Jones,"Nuu, Alluring Desire",Loss
Marc Germond,"Ira, Scarlet Revenger",Round 7,Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Loss
Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Round 7,Marc Germond,"Ira, Scarlet Revenger",Win
Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Round 7,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 7,Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Win
Mario Donoso,"Florian, Rotwood Harbinger",Round 7,Davide Ricci,"Prism, Awakener of Sol",Loss
Davide Ricci,"Prism, Awakener of Sol",Round 7,Mario Donoso,"Florian, Rotwood Harbinger",Loss
Ferdinand Wenke,"Florian, Rotwood Harbinger",Round 7,George Melissakis,"Prism, Awakener of Sol",Win
George Melissakis,"Prism, Awakener of Sol",Round 7,Ferdinand Wenke,"Florian, Rotwood Harbinger",Loss
Lorenzo Miele,"Prism, Awakener of Sol",Round 7,David Chirulescu,Kassai of the Golden Sand,Loss
David Chirulescu,Kassai of the Golden Sand,Round 7,Lorenzo Miele,"Prism, Awakener of Sol",Win
Mateusz Sass,"Victor Goldmane, High and Mighty",Round 7,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Win
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 7,Mateusz Sass,"Victor Goldmane, High and Mighty",Loss
Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Round 7,Jan-Hendrik Brinkforth,Jarl Vetreiði,Win
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 7,Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Loss
Flavio Dollani,"Azalea, Ace in the Hole",Round 7,Antonio Kutter,"Prism, Awakener of Sol",Loss
Antonio Kutter,"Prism, Awakener of Sol",Round 7,Flavio Dollani,"Azalea, Ace in the Hole",Win
Natan Tomeo,"Verdance, Thorn of the Rose",Round 7,Lukasz Ziemba,"Fang, Dracai of Blades",Win
Lukasz Ziemba,"Fang, Dracai of Blades",Round 7,Natan Tomeo,"Verdance, Thorn of the Rose",Loss
Federico Sirri,Kassai of the Golden Sand,Round 7,Yorick Schulte,Kassai of the Golden Sand,Loss
Yorick Schulte,Kassai of the Golden Sand,Round 7,Federico Sirri,Kassai of the Golden Sand,Win
Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Round 7,Andrea Nicastro,"Kano, Dracai of Aether",Loss
Andrea Nicastro,"Kano, Dracai of Aether",Round 7,Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Win
Samuel Mudry,"Kano, Dracai of Aether",Round 7,Žan Baumgartner,"Kano, Dracai of Aether",Win
Žan Baumgartner,"Kano, Dracai of Aether",Round 7,Samuel Mudry,"Kano, Dracai of Aether",Loss
Tim Heibrok,"Florian, Rotwood Harbinger",Round 7,Angelo Zaccardi,"Cindra, Dracai of Retribution",Win
Angelo Zaccardi,"Cindra, Dracai of Retribution",Round 7,Tim Heibrok,"Florian, Rotwood Harbinger",Loss
Emlyn Ingram,"Prism, Awakener of Sol",Round 7,Kevin Steiger,"Azalea, Ace in the Hole",Win
Kevin Steiger,"Azalea, Ace in the Hole",Round 7,Emlyn Ingram,"Prism, Awakener of Sol",Loss
David Gómez,"Verdance, Thorn of the Rose",Round 7,Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Loss
Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Round 7,David Gómez,"Verdance, Thorn of the Rose",Win
Theofrastos Matakoulias,"Puffin, Hightail",Round 7,Diego Paoletti,"Nuu, Alluring Desire",Loss
Diego Paoletti,"Nuu, Alluring Desire",Round 7,Theofrastos Matakoulias,"Puffin, Hightail",Win
Lewis Miller,"Verdance, Thorn of the Rose",Round 7,Matteo Lista,"Oscilio, Constella Intelligence",Loss
Matteo Lista,"Oscilio, Constella Intelligence",Round 7,Lewis Miller,"Verdance, Thorn of the Rose",Win
Adriano Izzi,"Prism, Awakener of Sol",Round 7,Vasil Popov,"Arakni, Marionette",Win
Vasil Popov,"Arakni, Marionette",Round 7,Adriano Izzi,"Prism, Awakener of Sol",Loss
Francesco Buoso,"Oscilio, Constella Intelligence",Round 7,Gregory Patellis,"Prism, Awakener of Sol",Win
Gregory Patellis,"Prism, Awakener of Sol",Round 7,Francesco Buoso,"Oscilio, Constella Intelligence",Loss
Giuseppe Cervone,"Florian, Rotwood Harbinger",Round 7,Nico Schleier,"Arakni, Marionette",Loss
Nico Schleier,"Arakni, Marionette",Round 7,Giuseppe Cervone,"Florian, Rotwood Harbinger",Win
Björn DHOOGHE,"Katsu, the Wanderer",Round 7,Stefania Patsou,"Cindra, Dracai of Retribution",Loss
Stefania Patsou,"Cindra, Dracai of Retribution",Round 7,Björn DHOOGHE,"Katsu, the Wanderer",Win
Nikos Tavoulareas,"Florian, Rotwood Harbinger",Round 7,Mika Vainio,"Ser Boltyn, Breaker of Dawn",Win
Mika Vainio,"Ser Boltyn, Breaker of Dawn",Round 7,Nikos Tavoulareas,"Florian, Rotwood Harbinger",Loss
Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Round 7,Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Win
Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Round 7,Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Loss
Plamen Kutinchev,"Arakni, Marionette",Round 7,Martin Holík,"Kano, Dracai of Aether",Loss
Martin Holík,"Kano, Dracai of Aether",Round 7,Plamen Kutinchev,"Arakni, Marionette",Win
Chang Li,"Victor Goldmane, High and Mighty",Round 7,Christos Kontzoglou,"Azalea, Ace in the Hole",Loss
Christos Kontzoglou,"Azalea, Ace in the Hole",Round 7,Chang Li,"Victor Goldmane, High and Mighty",Win
Jonny Chapman,"Florian, Rotwood Harbinger",Round 7,Boris Melnykov,"Nuu, Alluring Desire",Loss
Boris Melnykov,"Nuu, Alluring Desire",Round 7,Jonny Chapman,"Florian, Rotwood Harbinger",Win
Pierantonio Ostuni,"Cindra, Dracai of Retribution",Round 7,Maximilian Reichl,"Arakni, Marionette",Loss
Maximilian Reichl,"Arakni, Marionette",Round 7,Pierantonio Ostuni,"Cindra, Dracai of Retribution",Win
Mihai Zorila,"Cindra, Dracai of Retribution",Round 7,Simone Pirota,"Azalea, Ace in the Hole",Win
Simone Pirota,"Azalea, Ace in the Hole",Round 7,Mihai Zorila,"Cindra, Dracai of Retribution",Loss
Tilen Blazinšek,"Nuu, Alluring Desire",Round 7,Daniel Collett,"Gravy Bones, Shipwrecked Looter",Win
Daniel Collett,"Gravy Bones, Shipwrecked Looter",Round 7,Tilen Blazinšek,"Nuu, Alluring Desire",Loss
Ian Zhang,"Nuu, Alluring Desire",Round 7,Matthew Brown,"Fang, Dracai of Blades",Loss
Matthew Brown,"Fang, Dracai of Blades",Round 7,Ian Zhang,"Nuu, Alluring Desire",Win
Kaloyan Nikov,Dash I/O,Round 7,Emad Kashy,"Arakni, Marionette",Loss
Emad Kashy,"Arakni, Marionette",Round 7,Kaloyan Nikov,Dash I/O,Win
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 7,Marco Nogarole,"Cindra, Dracai of Retribution",Loss
Marco Nogarole,"Cindra, Dracai of Retribution",Round 7,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Round 7,Andrea Caregnato,"Rhinar, Reckless Rampage",Win
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 7,Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Loss
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 7,Edoardo Galli,"Nuu, Alluring Desire",Win
Edoardo Galli,"Nuu, Alluring Desire",Round 7,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Morris Prem,"Arakni, Marionette",Round 7,Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 7,Morris Prem,"Arakni, Marionette",Loss
Nathanaël frederic,"Azalea, Ace in the Hole",Round 7,Sebastian Linn,"Verdance, Thorn of the Rose",Loss
Sebastian Linn,"Verdance, Thorn of the Rose",Round 7,Nathanaël frederic,"Azalea, Ace in the Hole",Win
Matteo Blasi,"Florian, Rotwood Harbinger",Round 7,Stefano Galli,"Verdance, Thorn of the Rose",Win
Stefano Galli,"Verdance, Thorn of the Rose",Round 7,Matteo Blasi,"Florian, Rotwood Harbinger",Loss
Sebastian Niedzielec,Dorinthea Ironsong,Round 7,Roberto Andreocci,"Ira, Scarlet Revenger",Win
Roberto Andreocci,"Ira, Scarlet Revenger",Round 7,Sebastian Niedzielec,Dorinthea Ironsong,Loss
Nicolò Valenzano,"Azalea, Ace in the Hole",Round 7,Tiziano Biagetti,"Florian, Rotwood Harbinger",Win
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 7,Nicolò Valenzano,"Azalea, Ace in the Hole",Loss
Riccardo Di Cesare,Kassai of the Golden Sand,Round 7,Wojciech Arendt,"Prism, Awakener of Sol",Win
Wojciech Arendt,"Prism, Awakener of Sol",Round 7,Riccardo Di Cesare,Kassai of the Golden Sand,Loss
Florian Traversaz,"Prism, Awakener of Sol",Round 7,Tom Escoffier,"Arakni, Marionette",Loss
Tom Escoffier,"Arakni, Marionette",Round 7,Florian Traversaz,"Prism, Awakener of Sol",Win
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 7,Jakub Kulpinski,"Puffin, Hightail",Win
Jakub Kulpinski,"Puffin, Hightail",Round 7,Duccio Capanni,"Victor Goldmane, High and Mighty",Loss
Edoardo La Rosa,"Vynnset, Iron Maiden",Round 7,Jakub Koenner,"Prism, Awakener of Sol",Loss
Jakub Koenner,"Prism, Awakener of Sol",Round 7,Edoardo La Rosa,"Vynnset, Iron Maiden",Win
Viet Pham,"Nuu, Alluring Desire",Round 7,Brian Zambelli Tello,"Prism, Awakener of Sol",Loss
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 7,Viet Pham,"Nuu, Alluring Desire",Win
Matteo Brunori,"Azalea, Ace in the Hole",Round 7,Iacopo Lau,"Azalea, Ace in the Hole",Win
Iacopo Lau,"Azalea, Ace in the Hole",Round 7,Matteo Brunori,"Azalea, Ace in the Hole",Loss
Panagiotis Pavlou,"Prism, Awakener of Sol",Round 7,Michał Biereg,"Verdance, Thorn of the Rose",Loss
Michał Biereg,"Verdance, Thorn of the Rose",Round 7,Panagiotis Pavlou,"Prism, Awakener of Sol",Win
Eugene C,"Rhinar, Reckless Rampage",Round 7,Michał Rzepczyński,"Azalea, Ace in the Hole",Loss
Michał Rzepczyński,"Azalea, Ace in the Hole",Round 7,Eugene C,"Rhinar, Reckless Rampage",Win
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 7,Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Win
Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Round 7,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Loss
Tudor Diaconescu,"Levia, Shadowborn Abomination",Round 7,Faustin Falissard,Jarl Vetreiði,Loss
Faustin Falissard,Jarl Vetreiði,Round 7,Tudor Diaconescu,"Levia, Shadowborn Abomination",Win
Valerio Colonna,"Nuu, Alluring Desire",Round 7,Francesco Fiumanò,"Cindra, Dracai of Retribution",Loss
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 7,Valerio Colonna,"Nuu, Alluring Desire",Win
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 7,Gabriele Giacomelli,Dash I/O,Loss
Gabriele Giacomelli,Dash I/O,Round 7,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Win
Marcello Mutalipassi,"Arakni, Marionette",Round 7,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Loss
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 7,Marcello Mutalipassi,"Arakni, Marionette",Win
Gabriele Panichi,"Prism, Awakener of Sol",Round 7,Demetrio Bori,Dash I/O,Loss
Demetrio Bori,Dash I/O,Round 7,Gabriele Panichi,"Prism, Awakener of Sol",Win
Gaia Bormida,Dorinthea Ironsong,Round 7,David Bettoli,"Prism, Awakener of Sol",Win
David Bettoli,"Prism, Awakener of Sol",Round 7,Gaia Bormida,Dorinthea Ironsong,Loss
Davide Brigida,"Puffin, Hightail",Round 7,Massimiliano Messina,"Fang, Dracai of Blades",Loss
Massimiliano Messina,"Fang, Dracai of Blades",Round 7,Davide Brigida,"Puffin, Hightail",Win
Arianna Rinaldi,"Puffin, Hightail",Round 7,None,,Win
None,,Round 7,Arianna Rinaldi,"Puffin, Hightail",Loss
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 8,Stefano Meoni,"Azalea, Ace in the Hole",Loss
Stefano Meoni,"Azalea, Ace in the Hole",Round 8,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Win
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 8,Sander Neeft,"Gravy Bones, Shipwrecked Looter",Win
Sander Neeft,"Gravy Bones, Shipwrecked Looter",Round 8,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 8,Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Loss
Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Round 8,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Win
Roman Legíň,"Florian, Rotwood Harbinger",Round 8,Daniele Coppola,"Cindra, Dracai of Retribution",Win
Daniele Coppola,"Cindra, Dracai of Retribution",Round 8,Roman Legíň,"Florian, Rotwood Harbinger",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 8,Federico Lami,"Vynnset, Iron Maiden",Loss
Federico Lami,"Vynnset, Iron Maiden",Round 8,Gilles Molina,"Prism, Awakener of Sol",Win
Anton Cid Mejias,"Arakni, Marionette",Round 8,Filippo Barbani,"Victor Goldmane, High and Mighty",Win
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 8,Anton Cid Mejias,"Arakni, Marionette",Loss
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 8,Tommaso Fabbri,"Azalea, Ace in the Hole",Win
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 8,Yorgos Samaras,"Cindra, Dracai of Retribution",Loss
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 8,Finlay Freir,"Vynnset, Iron Maiden",Win
Finlay Freir,"Vynnset, Iron Maiden",Round 8,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
